idhspid,bidx,country_str,dhs_code,kidbirthmo,kidbirthyr,precip_12m,z_precip_12m,n_months_matched,n_years_avg
        340021024161 10,1,HN,16,7,2010,141.9663947882213,.1454971332633527,12,15
        340021024181  2,1,HN,16,8,2011,147.8952525556533,.4103455679061132,12,15
        340021024181  2,2,HN,16,9,2008,137.0477087909841,-.2106778316246124,12,15
        340021024191  2,1,HN,16,2,2012,130.4875829316779,.0828314828457253,12,15
        340021024201  2,1,HN,16,2,2009,121.5128207897169,-.2983836481194531,12,15
        340021025 41  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021025 51  2,1,HN,16,7,2010,141.9663947882213,.1454971332633527,12,15
        340021025 51  2,2,HN,16,1,2009,122.7525948467445,-.2485345638140396,12,15
        340021025 81  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021025111  6,1,HN,16,3,2008,147.7135606991729,.1493908104286932,12,15
        340021025121  2,1,HN,16,8,2011,147.8952525556533,.410345567906113,12,15
        340021025141  6,1,HN,16,12,2011,129.66674252381,.0074248746701556,12,15
        340021025141  6,2,HN,16,12,2009,148.1333843787514,.2921449233662505,12,15
        340021025141  6,3,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021025141 15,1,HN,16,7,2011,155.5873990872679,.5454129182666165,12,15
        340021025151  2,1,HN,16,10,2010,132.0029289810641,-.0250256481219464,12,15
        340021025161  2,1,HN,16,11,2010,140.3427515749711,.0816754237407707,12,15
        340021025171  2,1,HN,16,9,2011,157.0386547875943,.5426237886864702,12,15
        340021025191  2,1,HN,16,2,2009,121.5128207897169,-.2983836481194532,12,15
        340021026 21  1,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021026 21  1,2,HN,16,4,2007,127.8630864056406,-.1151595427021057,12,15
        340021026 41  2,1,HN,16,1,2010,137.2963352777935,.0224972041586956,12,15
        340021026 41  2,2,HN,16,9,2008,137.0477087909841,-.2106778316246124,12,15
