country,dhs_code,birth_year,month,baseline_mean,baseline_sd,n_years_used,baseline_year_start,baseline_year_end
HN,10,2003,5,227.8230049412776,123.0014222876783,15,1988,2002
HN,10,2003,6,279.5223511386542,83.01647202594789,15,1988,2002
HN,10,2003,7,208.1417040466335,66.88156473722626,15,1988,2002
HN,10,2003,8,270.1048266006271,95.64690785422596,15,1988,2002
HN,10,2003,9,331.5414041253149,72.45410999939375,15,1988,2002
HN,10,2003,10,218.0235218627882,79.5795756335408,15,1988,2002
HN,10,2003,11,64.40050818519676,30.03361207698837,15,1988,2002
HN,10,2003,12,29.3964755137517,10.1978541946055,15,1988,2002
HN,10,2004,1,18.14127370523592,4.048475986973461,15,1989,2003
HN,10,2004,2,13.35559170834116,5.989128740944309,15,1989,2003
HN,10,2004,3,18.68834937732221,8.532399368300378,15,1989,2003
HN,10,2004,4,47.46795411619027,18.59077875917052,15,1989,2003
HN,10,2004,5,232.631845080826,120.9488222904977,15,1989,2003
HN,10,2004,6,276.907997746863,81.73952766571217,15,1989,2003
HN,10,2004,7,195.7666799925375,47.66463243094316,15,1989,2003
HN,10,2004,8,252.647152841439,84.45398281477328,15,1989,2003
HN,10,2004,9,320.9896305666917,71.07971282906838,15,1989,2003
HN,10,2004,10,215.5515841711571,79.30516599072176,15,1989,2003
HN,10,2004,11,66.73404100843227,29.83791601019012,15,1989,2003
HN,10,2004,12,28.46287177471509,11.32538305820431,15,1989,2003
HN,10,2005,1,18.2645014063152,4.066880588537218,15,1990,2004
HN,10,2005,2,13.93735964908782,6.43338131631974,15,1990,2004
HN,10,2005,3,20.09565230128672,8.352191609641533,15,1990,2004
HN,10,2005,4,47.08002034984168,18.66537618104364,15,1990,2004
HN,10,2005,5,241.4531575446582,121.6094155768858,15,1990,2004
HN,10,2005,6,273.5306128288994,83.16537271601324,15,1990,2004
HN,10,2005,7,197.303390718855,47.25510640369303,15,1990,2004
HN,10,2005,8,246.2982977726788,83.25927982860031,15,1990,2004
HN,10,2005,9,309.0434092696624,60.67063609565467,15,1990,2004
HN,10,2005,10,216.4345405561591,79.20915537544359,15,1990,2004
HN,10,2005,11,66.7189674553985,29.83880278038178,15,1990,2004
HN,10,2005,12,27.62226688542114,11.18267400183655,15,1990,2004
HN,10,2006,1,18.41436520437691,4.033749510064438,15,1991,2005
HN,10,2006,2,13.70571044234759,6.478726360301609,15,1991,2005
HN,10,2006,3,19.673455995932,8.497645073760575,15,1991,2005
HN,10,2006,4,47.36830601228074,18.81534406997045,15,1991,2005
HN,10,2006,5,240.4940247669062,122.1616093852425,15,1991,2005
HN,10,2006,6,277.5317878093828,84.99965641079821,15,1991,2005
HN,10,2006,7,200.1598129567579,46.09864994194611,15,1991,2005
HN,10,2006,8,248.88693776374,83.29002321262436,15,1991,2005
HN,10,2006,9,309.2367879166064,60.64965672412825,15,1991,2005
HN,10,2006,10,222.5990486504842,73.25407986261972,15,1991,2005
HN,10,2006,11,60.5033195738611,18.00420303170409,15,1991,2005
HN,10,2006,12,26.61703718343231,11.05372609253616,15,1991,2005
HN,10,2007,1,19.02973777534218,4.952867327680393,15,1992,2006
HN,10,2007,2,15.09122218406183,6.710073112093965,15,1992,2006
HN,10,2007,3,19.79027505217365,8.42730102702221,15,1992,2006
HN,10,2007,4,49.1605456353734,16.74350442002325,15,1992,2006
HN,10,2007,5,242.104304670404,122.2998117968471,15,1992,2006
HN,10,2007,6,297.7505015526318,113.7683582083884,15,1992,2006
HN,10,2007,7,208.4387479907573,41.52035616977426,15,1992,2006
HN,10,2007,8,249.03199259479,83.25775714966214,15,1992,2006
